dataset,hardness_metric,random_seed,weighting_strategy,ks_mean,ks_std
NewThyroid2,F4,26226,curriculum,0.4529967159277504,0.1701074583010441
NewThyroid2,F4,26226,static,0.4669540229885057,0.1234508228155448
NewThyroid2,F4,26226,self_paced,0.534072249589491,0.0975984682099239
Pima,Baseline,670488,static,0.2827024827024826,0.070388925989067
Pima,Baseline,116740,static,0.2474460724460724,0.0745466549645386
Pima,Baseline,26226,static,0.2888583638583639,0.0620182837799261
Pima,kDN,670488,curriculum,0.4607753357753357,0.0432085877426119
Pima,kDN,670488,static,0.4415750915750915,0.0597441524545619
Pima,kDN,670488,self_paced,0.3721916971916972,0.0788862823361014
Pima,kDN,116740,curriculum,0.4264957264957265,0.0519664954752757
Pima,kDN,116740,static,0.4000915750915751,0.0821225329666002
Pima,kDN,116740,self_paced,0.4083842083842083,0.0839213879537744
Pima,kDN,26226,curriculum,0.3636243386243386,0.0697710293218338
Pima,kDN,26226,static,0.4126068376068376,0.0610526708843869
Pima,kDN,26226,self_paced,0.3678876678876679,0.0809974538285293
Pima,DS,670488,curriculum,0.3062169312169312,0.0761498441281676
Pima,DS,670488,static,0.290038665038665,0.080809318410876
Pima,DS,670488,self_paced,0.3083435083435083,0.0647639501547584
Pima,DS,116740,curriculum,0.3008648758648758,0.0865028320973578
Pima,DS,116740,static,0.2868335368335368,0.0630835007093149
Pima,DS,116740,self_paced,0.3616300366300365,0.0763720159233819
Pima,DS,26226,curriculum,0.2932234432234432,0.0844626546604573
Pima,DS,26226,static,0.3112739112739113,0.0712877493272517
Pima,DS,26226,self_paced,0.3444749694749695,0.0890671327548304
Pima,DCP,670488,curriculum,0.3497150997150997,0.0741640207832002
Pima,DCP,670488,static,0.4597171347171347,0.055621270363444
Pima,DCP,670488,self_paced,0.368030118030118,0.0923104524846834
Pima,DCP,116740,curriculum,0.389041514041514,0.07561989660956
Pima,DCP,116740,static,0.4104700854700855,0.08988754412558
Pima,DCP,116740,self_paced,0.3359686609686609,0.0808873427009774
Pima,DCP,26226,curriculum,0.4331501831501831,0.046580676492583
Pima,DCP,26226,static,0.4565425315425315,0.0480807915785917
Pima,DCP,26226,self_paced,0.3422059422059422,0.0930355403523628
Pima,TD_P,670488,curriculum,0.3204619454619454,0.0674234717126352
Pima,TD_P,670488,static,0.5022079772079773,0.0299629086152928
Pima,TD_P,670488,self_paced,0.2767602767602767,0.0729624445901284
Pima,TD_P,116740,curriculum,0.3573056573056573,0.0434514514199367
Pima,TD_P,116740,static,0.5033679283679284,0.0285643109754796
Pima,TD_P,116740,self_paced,0.2655881155881155,0.0698259359711636
Pima,TD_P,26226,curriculum,0.3372405372405372,0.1086589903508474
Pima,TD_P,26226,static,0.3594220594220594,0.0907155062188262
Pima,TD_P,26226,self_paced,0.309025234025234,0.0850969430954614
Pima,TD_U,670488,curriculum,0.403103378103378,0.0489356597044546
Pima,TD_U,670488,static,0.416015466015466,0.0507888708414055
Pima,TD_U,670488,self_paced,0.2910968660968661,0.0893980621007959
Pima,TD_U,116740,curriculum,0.4074277574277574,0.0437503548874628
Pima,TD_U,116740,static,0.4212352462352462,0.0630244154892266
Pima,TD_U,116740,self_paced,0.2965099715099715,0.0807550565490053
Pima,TD_U,26226,curriculum,0.4381562881562881,0.0498504309952627
Pima,TD_U,26226,static,0.4565832315832316,0.0380593749578615
Pima,TD_U,26226,self_paced,0.3041717541717542,0.0860814748859879
Pima,CL,670488,curriculum,0.4596052096052095,0.0386626581749047
Pima,CL,670488,static,0.4511090761090761,0.0512281034274111
Pima,CL,670488,self_paced,0.3788258038258038,0.063737079161301
Pima,CL,116740,curriculum,0.4052096052096052,0.0719641878703897
Pima,CL,116740,static,0.4414122914122914,0.0571535493245225
Pima,CL,116740,self_paced,0.3881359381359381,0.0924996984673592
Pima,CL,26226,curriculum,0.4114672364672365,0.0502546729431008
Pima,CL,26226,static,0.4061864061864062,0.0605379792026269
Pima,CL,26226,self_paced,0.4179181929181929,0.0928027699062955
Pima,CLD,670488,curriculum,0.4499796499796499,0.0526619110779768
Pima,CLD,670488,static,0.4617012617012617,0.0403607807794413
Pima,CLD,670488,self_paced,0.386019536019536,0.0674660492926799
Pima,CLD,116740,curriculum,0.4266687016687017,0.0531091632534219
Pima,CLD,116740,static,0.4203398453398453,0.0589533486458883
Pima,CLD,116740,self_paced,0.4211741961741961,0.0920865932305787
Pima,CLD,26226,curriculum,0.4126068376068376,0.0637461309780296
Pima,CLD,26226,static,0.3955229955229955,0.0697951127559939
Pima,CLD,26226,self_paced,0.4072344322344322,0.0953149051584835
Pima,MV,670488,curriculum,0.3572344322344322,0.0605375773090286
Pima,MV,670488,static,0.3272181522181522,0.053953434479079
Pima,MV,670488,self_paced,0.3071530321530321,0.0819565116536913
Pima,MV,116740,curriculum,0.3253256003256003,0.0586255937454542
Pima,MV,116740,static,0.2889601139601139,0.0467089048144611
Pima,MV,116740,self_paced,0.2773911273911273,0.0863442394623719
Pima,MV,26226,curriculum,0.3016178266178266,0.0378958879975647
Pima,MV,26226,static,0.3943528693528694,0.0565294226249972
Pima,MV,26226,self_paced,0.3089540089540089,0.0888922199309963
Pima,CB,670488,curriculum,0.3038359788359788,0.0506921130963248
Pima,CB,670488,static,0.3592796092796093,0.071175024570847
Pima,CB,670488,self_paced,0.303062678062678,0.0616424118755105
Pima,CB,116740,curriculum,0.3337606837606837,0.0469699387940238
Pima,CB,116740,static,0.3826719576719577,0.0742120029370485
Pima,CB,116740,self_paced,0.2728530728530728,0.0831096874066939
Pima,CB,26226,curriculum,0.3305148555148555,0.0285504766018645
Pima,CB,26226,static,0.3315832315832316,0.0523230801826182
Pima,CB,26226,self_paced,0.2930708180708181,0.0885005024866952
Pima,N1,670488,curriculum,0.4403744403744404,0.0676381564714647
Pima,N1,670488,static,0.4425824175824175,0.0509304074090464
Pima,N1,670488,self_paced,0.3210012210012209,0.1108788865880873
Pima,N1,116740,curriculum,0.3818274318274318,0.0338307168811483
Pima,N1,116740,static,0.3923076923076923,0.0556773042370503
Pima,N1,116740,self_paced,0.3179792429792429,0.0781743588309469
Pima,N1,26226,curriculum,0.4019637769637769,0.0565383246043323
Pima,N1,26226,static,0.3858770858770858,0.0610935403441117
Pima,N1,26226,self_paced,0.3401607651607651,0.0806032850515031
Pima,N2,670488,curriculum,0.3924196174196174,0.0569827314913924
Pima,N2,670488,static,0.3722120472120472,0.062434487590256
Pima,N2,670488,self_paced,0.3796296296296296,0.1098663496147762
Pima,N2,116740,curriculum,0.3357651607651608,0.0544263282084479
Pima,N2,116740,static,0.367948717948718,0.0545629434640317
Pima,N2,116740,self_paced,0.3626271876271876,0.1098102192675058
Pima,N2,26226,curriculum,0.3465404965404965,0.0614424777916091
Pima,N2,26226,static,0.37008547008547,0.0499889292578226
Pima,N2,26226,self_paced,0.3436609686609686,0.071088212311916
Pima,LSC,670488,curriculum,0.2699226699226699,0.0828080911662204
Pima,LSC,670488,static,0.288074888074888,0.0754550572457415
Pima,LSC,670488,self_paced,0.3337505087505087,0.098140267103866
Pima,LSC,116740,curriculum,0.2473137973137973,0.0625901887589983
Pima,LSC,116740,static,0.2614774114774115,0.0693243134343919
Pima,LSC,116740,self_paced,0.3284595034595035,0.0876804366575235
Pima,LSC,26226,curriculum,0.292053317053317,0.0855280936259164
Pima,LSC,26226,static,0.2793447293447293,0.0736604863183125
Pima,LSC,26226,self_paced,0.3591778591778591,0.0533585527614126
Pima,LSR,670488,curriculum,0.3435490435490436,0.0695506656011668
Pima,LSR,670488,static,0.3413003663003663,0.0588737712672389
Pima,LSR,670488,self_paced,0.3465404965404965,0.1083463138885016
Pima,LSR,116740,curriculum,0.3423789173789174,0.0709740474450928
Pima,LSR,116740,static,0.3796398046398046,0.0616706703593824
Pima,LSR,116740,self_paced,0.3357651607651608,0.0941406898054188
Pima,LSR,26226,curriculum,0.3401505901505901,0.076731063904899
Pima,LSR,26226,static,0.3432539682539682,0.0670188706596586
Pima,LSR,26226,self_paced,0.3527167277167277,0.0590865880917471
Pima,Harmfulness,670488,curriculum,0.5291208791208791,0.0501912078472382
Pima,Harmfulness,670488,static,0.512087912087912,0.0644782294230384
Pima,Harmfulness,670488,self_paced,0.3584859584859585,0.0777725902663933
Pima,Harmfulness,116740,curriculum,0.5217338217338218,0.0656527059904429
Pima,Harmfulness,116740,static,0.5376271876271876,0.0686565882004651
Pima,Harmfulness,116740,self_paced,0.3531746031746031,0.0920925550781327
Pima,Harmfulness,26226,curriculum,0.5450752950752951,0.0803700435347965
Pima,Harmfulness,26226,static,0.5302910052910053,0.0741645023916771
Pima,Harmfulness,26226,self_paced,0.3453500203500204,0.0706817186802356
Pima,F1,670488,curriculum,0.2781542531542531,0.0914758427486527
Pima,F1,670488,static,0.2760989010989012,0.0773995481385089
Pima,F1,670488,self_paced,0.2707875457875458,0.0966719957729237
Pima,F1,116740,curriculum,0.2975579975579975,0.0755581512238105
Pima,F1,116740,static,0.2826210826210826,0.0835925358496774
Pima,F1,116740,self_paced,0.2826312576312576,0.0857495322687008
Pima,F1,26226,curriculum,0.3199226699226699,0.0620191418249463
Pima,F1,26226,static,0.292053317053317,0.0626791165095429
Pima,F1,26226,self_paced,0.2827431827431828,0.0888903471086974
Pima,F2,670488,curriculum,0.4468152218152219,0.0571639660277434
Pima,F2,670488,static,0.4648148148148148,0.0439146201540221
Pima,F2,670488,self_paced,0.2814814814814815,0.0919976593307687
Pima,F2,116740,curriculum,0.4511497761497762,0.036380896504181
Pima,F2,116740,static,0.4254680504680504,0.0496117010506775
Pima,F2,116740,self_paced,0.3232905982905982,0.088045099738828
Pima,F2,26226,curriculum,0.4617419617419617,0.0494187098423418
Pima,F2,26226,static,0.4734737484737485,0.0467903814330589
Pima,F2,26226,self_paced,0.2983414733414733,0.0859207923372828
Pima,F3,670488,curriculum,0.4373219373219374,0.0540873413153258
Pima,F3,670488,static,0.4370980870980871,0.0642168793542228
Pima,F3,670488,self_paced,0.3136955636955637,0.0799585227165032
Pima,F3,116740,curriculum,0.4306674806674807,0.0534002312812669
Pima,F3,116740,static,0.4224257224257224,0.057136080648091
Pima,F3,116740,self_paced,0.3101343101343101,0.0779770015451556
Pima,F3,26226,curriculum,0.3913512413512413,0.0507890665327167
Pima,F3,26226,static,0.4232702482702482,0.0505927392986308
Pima,F3,26226,self_paced,0.2858363858363858,0.0869865470146456
Pima,F4,670488,curriculum,0.274043549043549,0.0846175771817627
Pima,F4,670488,static,0.2945970695970696,0.0947607082958685
Pima,F4,670488,self_paced,0.3285816035816036,0.0864838539739009
Pima,F4,116740,curriculum,0.3134208384208384,0.0791321027637684
Pima,F4,116740,static,0.3082621082621082,0.0835557326267933
Pima,F4,116740,self_paced,0.3145095645095644,0.073044096975328
Pima,F4,26226,curriculum,0.3080586080586081,0.0843622715633585
Pima,F4,26226,static,0.3123422873422873,0.0633047594397816
Pima,F4,26226,self_paced,0.3283475783475783,0.0834215979750766
Thoracic,Baseline,670488,static,0.6161038961038962,0.165441686498117
Thoracic,Baseline,116740,static,0.607965367965368,0.1762035132439085
Thoracic,Baseline,26226,static,0.6431818181818181,0.1682766451146898
Thoracic,kDN,670488,curriculum,0.6833766233766234,0.1562351036732693
Thoracic,kDN,670488,static,0.6624025974025974,0.1596061920530309
Thoracic,kDN,670488,self_paced,0.7002597402597401,0.1853481870715322
Thoracic,kDN,116740,curriculum,0.6895670995670996,0.158038211077232
Thoracic,kDN,116740,static,0.716017316017316,0.1664381831846247
Thoracic,kDN,116740,self_paced,0.6850432900432899,0.1961363537830594
Thoracic,kDN,26226,curriculum,0.7049783549783549,0.1682256875041548
Thoracic,kDN,26226,static,0.7273376623376623,0.1643736197468647
Thoracic,kDN,26226,self_paced,0.6993290043290044,0.1598762809703763
Thoracic,DS,670488,curriculum,0.6509090909090909,0.1681614338546744
Thoracic,DS,670488,static,0.6505194805194805,0.1756958339509715
Thoracic,DS,670488,self_paced,0.6847619047619047,0.1677711952809693
Thoracic,DS,116740,curriculum,0.6712337662337663,0.1717883348365287
Thoracic,DS,116740,static,0.6585497835497836,0.1773043726941074
Thoracic,DS,116740,self_paced,0.6887662337662337,0.1894843123901474
Thoracic,DS,26226,curriculum,0.6585930735930736,0.1576895847379791
Thoracic,DS,26226,static,0.6595670995670996,0.1546739616326913
Thoracic,DS,26226,self_paced,0.6791558441558442,0.1783085379584213
Thoracic,DCP,670488,curriculum,0.6581818181818181,0.1483384294434324
Thoracic,DCP,670488,static,0.6899783549783551,0.1690858551854431
Thoracic,DCP,670488,self_paced,0.6421212121212122,0.1612514802391364
Thoracic,DCP,116740,curriculum,0.6715367965367964,0.1740549797067592
Thoracic,DCP,116740,static,0.7153896103896104,0.1671982639238684
Thoracic,DCP,116740,self_paced,0.6537445887445889,0.1755809094401341
Thoracic,DCP,26226,curriculum,0.686060606060606,0.1425916363889868
Thoracic,DCP,26226,static,0.7238311688311688,0.1709515450764957
Thoracic,DCP,26226,self_paced,0.6617099567099567,0.1654268610699271
Vertebral,Baseline,670488,static,0.3444805194805195,0.0926246977129348
Vertebral,Baseline,116740,static,0.3152597402597402,0.0990972704805616
Vertebral,Baseline,26226,static,0.3113636363636364,0.0977650183826631
Vertebral,kDN,670488,curriculum,0.7336038961038961,0.0857696102444856
Vertebral,kDN,670488,static,0.7298701298701299,0.1222886496381635
Vertebral,kDN,670488,self_paced,0.3709415584415584,0.0644797347619688
Vertebral,kDN,116740,curriculum,0.7840909090909091,0.0713159531324685
Vertebral,kDN,116740,static,0.8100649350649352,0.0897602501838722
Vertebral,kDN,116740,self_paced,0.4248376623376623,0.0647240890849499
Vertebral,kDN,26226,curriculum,0.7758116883116883,0.0797717428013824
Vertebral,kDN,26226,static,0.7311688311688311,0.1266579206959481
Vertebral,kDN,26226,self_paced,0.4063311688311689,0.0926912513249635
Vertebral,DS,670488,curriculum,0.3449675324675324,0.0803596024810505
Vertebral,DS,670488,static,0.374512987012987,0.0773320464228556
Vertebral,DS,670488,self_paced,0.3482142857142857,0.1111561430737222
Vertebral,DS,116740,curriculum,0.3672077922077922,0.0295168978592648
Vertebral,DS,116740,static,0.3540584415584416,0.0816869825217571
Vertebral,DS,116740,self_paced,0.3420454545454546,0.0562799179259115
Vertebral,DS,26226,curriculum,0.3563311688311689,0.0426525023749644
Vertebral,DS,26226,static,0.3452922077922077,0.0957197702352956
Vertebral,DS,26226,self_paced,0.3915584415584415,0.0404139276193642
Vertebral,DCP,670488,curriculum,0.3152597402597403,0.0682787653368041
Vertebral,DCP,670488,static,0.4737012987012987,0.0428921787132743
Vertebral,DCP,670488,self_paced,0.3074675324675325,0.0802447396985197
Vertebral,DCP,116740,curriculum,0.3193181818181818,0.0447469271039032
Vertebral,DCP,116740,static,0.4767857142857142,0.042794991336857
Vertebral,DCP,116740,self_paced,0.3657467532467532,0.0834576643206036
Vertebral,DCP,26226,curriculum,0.2944805194805195,0.0614790538289792
Vertebral,DCP,26226,static,0.4728896103896103,0.0413327118390626
Vertebral,DCP,26226,self_paced,0.3712662337662338,0.1201474188656484
Vertebral,TD_P,670488,curriculum,0.3108766233766234,0.0243029836509082
Vertebral,TD_P,670488,static,0.4725649350649351,0.0647810673926283
Vertebral,TD_P,670488,self_paced,0.3202922077922077,0.1060667625653752
Vertebral,TD_P,116740,curriculum,0.2941558441558441,0.0911268264503032
Vertebral,TD_P,116740,static,0.4748376623376624,0.0267911249946444
Vertebral,TD_P,116740,self_paced,0.3185064935064935,0.0959455412626181
Vertebral,TD_P,26226,curriculum,0.2956168831168831,0.0546246333170246
Vertebral,TD_P,26226,static,0.4918831168831169,0.0502040867748023
Vertebral,TD_P,26226,self_paced,0.3125,0.1251887594865088
Vertebral,TD_U,670488,curriculum,0.3232142857142857,0.0696165527170885
Vertebral,TD_U,670488,static,0.4594155844155844,0.0342082088349428
Vertebral,TD_U,670488,self_paced,0.3490259740259739,0.0663816149688259
