dataset,Classifier,weighting_strategy,hardness_metric,seed,metric,baseline_value,augmented_value,utility_gain
BCWDD,GaussianNB,curriculum,DS,26226,Balanced Accuracy,0.95734126984127,0.945436507936508,-0.011904761904761973
BCWDD,GaussianNB,curriculum,F1,670488,Precision,0.8636363636363636,0.8604651162790697,-0.003171247357293905
BCWDD,GaussianNB,curriculum,F1,670488,Recall,0.9047619047619048,0.8809523809523809,-0.023809523809523836
BCWDD,GaussianNB,curriculum,F1,670488,F1 Score,0.8837209302325582,0.8705882352941177,-0.013132694938440492
BCWDD,GaussianNB,curriculum,F1,670488,Specificity,0.9166666666666666,0.9166666666666666,0.0
BCWDD,GaussianNB,curriculum,F1,670488,Balanced Accuracy,0.9107142857142856,0.8988095238095237,-0.011904761904761862
BCWDD,GaussianNB,curriculum,F1,116740,Precision,0.8888888888888888,0.8888888888888888,0.0
BCWDD,GaussianNB,curriculum,F1,116740,Recall,0.9523809523809524,0.9523809523809524,0.0
BCWDD,GaussianNB,curriculum,F1,116740,F1 Score,0.9195402298850576,0.9195402298850576,0.0
BCWDD,GaussianNB,curriculum,F1,116740,Specificity,0.9305555555555556,0.9305555555555556,0.0
BCWDD,GaussianNB,curriculum,F1,116740,Balanced Accuracy,0.941468253968254,0.941468253968254,0.0
BCWDD,GaussianNB,curriculum,F1,26226,Precision,0.975,0.9743589743589745,-0.0006410256410255277
BCWDD,GaussianNB,curriculum,F1,26226,Recall,0.9285714285714286,0.9047619047619048,-0.023809523809523836
BCWDD,GaussianNB,curriculum,F1,26226,F1 Score,0.951219512195122,0.9382716049382716,-0.012947907256850466
BCWDD,GaussianNB,curriculum,F1,26226,Specificity,0.9861111111111112,0.9861111111111112,0.0
BCWDD,GaussianNB,curriculum,F1,26226,Balanced Accuracy,0.95734126984127,0.945436507936508,-0.011904761904761973
BCWDD,GaussianNB,curriculum,F2,670488,Precision,0.8636363636363636,0.8636363636363636,0.0
BCWDD,GaussianNB,curriculum,F2,670488,Recall,0.9047619047619048,0.9047619047619048,0.0
BCWDD,GaussianNB,curriculum,F2,670488,F1 Score,0.8837209302325582,0.8837209302325582,0.0
BCWDD,GaussianNB,curriculum,F2,670488,Specificity,0.9166666666666666,0.9166666666666666,0.0
BCWDD,GaussianNB,curriculum,F2,670488,Balanced Accuracy,0.9107142857142856,0.9107142857142856,0.0
BCWDD,GaussianNB,curriculum,F2,116740,Precision,0.8888888888888888,0.8913043478260869,0.0024154589371980784
BCWDD,GaussianNB,curriculum,F2,116740,Recall,0.9523809523809524,0.9761904761904762,0.023809523809523725
BCWDD,GaussianNB,curriculum,F2,116740,F1 Score,0.9195402298850576,0.9318181818181818,0.012277951933124198
BCWDD,GaussianNB,curriculum,F2,116740,Specificity,0.9305555555555556,0.9305555555555556,0.0
BCWDD,GaussianNB,curriculum,F2,116740,Balanced Accuracy,0.941468253968254,0.9533730158730158,0.011904761904761862
BCWDD,GaussianNB,curriculum,F2,26226,Precision,0.975,0.951219512195122,-0.02378048780487796
BCWDD,GaussianNB,curriculum,F2,26226,Recall,0.9285714285714286,0.9285714285714286,0.0
BCWDD,GaussianNB,curriculum,F2,26226,F1 Score,0.951219512195122,0.9397590361445785,-0.011460476050543567
BCWDD,GaussianNB,curriculum,F2,26226,Specificity,0.9861111111111112,0.9722222222222222,-0.01388888888888895
BCWDD,GaussianNB,curriculum,F2,26226,Balanced Accuracy,0.95734126984127,0.9503968253968254,-0.006944444444444642
BCWDD,GaussianNB,curriculum,F3,670488,Precision,0.8636363636363636,0.8604651162790697,-0.003171247357293905
BCWDD,GaussianNB,curriculum,F3,670488,Recall,0.9047619047619048,0.8809523809523809,-0.023809523809523836
BCWDD,GaussianNB,curriculum,F3,670488,F1 Score,0.8837209302325582,0.8705882352941177,-0.013132694938440492
BCWDD,GaussianNB,curriculum,F3,670488,Specificity,0.9166666666666666,0.9166666666666666,0.0
BCWDD,GaussianNB,curriculum,F3,670488,Balanced Accuracy,0.9107142857142856,0.8988095238095237,-0.011904761904761862
BCWDD,GaussianNB,curriculum,F3,116740,Precision,0.8888888888888888,0.8888888888888888,0.0
BCWDD,GaussianNB,curriculum,F3,116740,Recall,0.9523809523809524,0.9523809523809524,0.0
BCWDD,GaussianNB,curriculum,F3,116740,F1 Score,0.9195402298850576,0.9195402298850576,0.0
BCWDD,GaussianNB,curriculum,F3,116740,Specificity,0.9305555555555556,0.9305555555555556,0.0
BCWDD,GaussianNB,curriculum,F3,116740,Balanced Accuracy,0.941468253968254,0.941468253968254,0.0
BCWDD,GaussianNB,curriculum,F3,26226,Precision,0.975,0.9743589743589745,-0.0006410256410255277
